Git是什么？	一种分布式版本控制系统（VCS）
`cd`命令的作用是？	更改当前目录
`ls -l`的作用是？	以长列表格式显示目录内容
`ssh`命令的作用是？	安全地连接到远程Linux机器
Linux命令行是否区分大小写？	是
`~`在Linux中代表什么？	当前用户的主目录
`*`在Linux中是什么？	一个通配符，匹配任意字符序列
如何将`echo`的输出重定向到文件并覆盖？	`echo "text" > file.txt`
`mkdir`命令的作用是？	创建一个新目录
`mv`命令的作用是？	移动或重命名文件/目录
`rm`命令的作用是？	删除文件
`cat`命令的作用是？	显示文件内容
`head -n 5`的作用是？	显示文件的前5行
`tail -f`的作用是？	实时跟踪文件的新增内容
`ps`命令的作用是？	显示当前运行的进程
`kill [PID]`的作用是？	终止指定PID的进程
`man [command]`的作用是？	显示命令的手册页
Shell脚本的第一行通常是什么？	Shebang，例如 `#!/bin/bash`
如何使Shell脚本可执行？	`chmod +x script_name`
如何在Shell脚本中读取用户输入？	`read -p "Prompt: " variable`
如何在Shell脚本中访问第一个命令行参数？	使用 `$1`

`strcpy`函数的主要风险是什么？	不检查缓冲区大小，可能导致缓冲区溢出
`fgets`相比`gets`的优点是？	可以限制读入的字符数，防止溢出
`strncpy`和`strcpy`的主要区别是？	`strncpy`需要指定最大复制字符数
使用`strncpy`后需要注意什么？	可能需要手动添加空终止符`\0`
`-Wall`编译器标志的作用是？	启用一组常见的、重要的警告
`-Wextra`编译器标志的作用是？	启用一些`-Wall`未包含的额外警告
`-Werror`编译器标志的作用是？	将所有编译器警告视为错误，强制修复
为什么应始终启用编译器警告？	它们能帮助在早期发现潜在的bug和安全漏洞
C语言中`if (x = 0)`是什么问题？	这是赋值而非比较，通常是逻辑错误

`grep`命令的作用是？	在文件中搜索匹配指定模式的行
`grep -i`的作用是？	进行不区分大小写的搜索
`sort`命令的作用是？	对文件的行进行排序
`uniq`命令的作用是？	报告或省略重复的行
`uniq -c`的作用是？	在每行开头增加重复次数
使用`uniq`前通常需要做什么？	对文件进行排序 (`sort`)
`wc -l`的作用是？	计算文件的行数
`tr 'a-z' 'A-Z'`的作用是？	将文本从小写转换为大写
`sed 's/old/new/g'`的作用是？	全局替换每行中所有'old'为'new'
管道`|`在命令行中的作用是？	将一个命令的输出作为另一个命令的输入
`curl [URL]`的作用是？	获取并显示URL指向的内容

`whoami`命令的作用是？	显示当前有效用户名
`sudo`命令的作用是？	以超级用户（root）权限执行命令
`chmod 700 file`的含义是？	设置文件只有所有者有读、写、执行权限
`chown user:group file`的作用是？	更改文件的所有者和所属组
`ps aux`的作用是？	显示系统上所有正在运行的进程
`top`命令的作用是？	动态实时地查看系统进程和资源使用情况
`kill -9 [PID]`的含义是？	强制终止指定PID的进程
`jobs`命令的作用是？	列出当前shell会话中的后台作业
如何将后台作业切换到前台？	`fg %[job_id]`
`df -h`的作用是？	以人类可读格式显示磁盘空间使用情况
`tar -czvf archive.tar.gz dir/`的作用是？	创建`dir/`目录的压缩归档文件
`strings`命令对二进制文件的作用是？	提取并显示文件中的可打印字符序列
`hexdump -C`的作用是？	以十六进制和ASCII码形式显示文件内容

在vi中如何向上移动光标？	`k`
在vi中如何移动到行尾？	`$`
在vi中如何进入插入模式？	`i` (在光标前) 或 `a` (在光标后)
在vi中如何删除当前行？	`dd`
在vi中如何删除一个单词？	`dw`
在vi中如何复制当前行？	`yy`
在vi中如何粘贴已复制的内容？	`p`
在vi中如何向前搜索"text"？	`/text`
在vi中如何重复上一个命令？	`.` (点号)
在vi中如何保存并退出？	`:wq`
在vi中如何不保存并强制退出？	`:q!`
如何在整个文件中将"old"替换为"new"？	`:%s/old/new/g`
